lsoa_code,lsoa_name,la_name,wimd_2025_rank,income_rank,employment_rank,health_rank,education_rank,access_rank,housing_rank,community_safety_rank,physical_env_rank,wimd_2025_score,income_score,employment_score,health_score,education_score,access_score,housing_score,community_safety_score,physical_env_score,drd_category,wimd_2019_rank,wimd_2014_rank,wimd_2011_rank,wimd_2008_rank,wimd_2005_rank,ruc_code,ruc_name,rural_urban,access_rank_gap,housing_rank_gap
W01000628,Bigyn 1,Carmarthenshire,1211,1222,1028,678,1082,975,1217,996,848,14.5044939789115,10.2061374513068,14.0983671490301,23.400891555994,12.9471903101728,15.2871797852758,10.2986094676654,14.8087652662821,18.4139767812634,LSOAs never ranked in top 50 most deprived,1070,1015,1021,1015,1069,UN1,Urban: Nearer to a major town or city,Urban,-236,6
W01000629,Bigyn 2,Carmarthenshire,642,578,523,827,638,1561,519,696,412,24.0277918616051,26.9347794016803,29.1379128996805,18.9745757338571,24.750012276592,4.67175799544653,29.3066834813451,22.818681184314105,34.3531672483296,LSOAs never ranked in top 50 most deprived,583,859,739,844,943,UN1,Urban: Nearer to a major town or city,Urban,919,-123
W01000630,Bigyn 3,Carmarthenshire,865,733,619,791,793,1410,720,686,1568,19.7022955120198,21.6662933513714,25.4196670575853,19.9685834801836,19.9122192709302,6.9742561972193,22.0646400750381,23.1403102529704,4.5704120823873,LSOAs never ranked in top 50 most deprived,810,967,910,954,974,UN1,Urban: Nearer to a major town or city,Urban,545,-145
W01000631,Bigyn 4,Carmarthenshire,117,99,100,168,102,646,932,323,1556,49.5259540921792,63.442446411698,63.2563930846068,53.2084274589305,62.888741563461,24.4737829256576,16.2989822568077,39.6028303062084,4.74442231942631,LSOAs never ranked in top 50 most deprived,84,124,75,69,57,UN1,Urban: Nearer to a major town or city,Urban,529,815
W01000632,Burry Port 1,Carmarthenshire,1040,823,590,1163,734,1755,992,817,1540,16.9755045405983,19.0829232536666,26.4809077373209,11.3217403190675,21.6359351657852,2.01620865464999,14.8991279100064,19.2464075849848,4.97850299285104,LSOAs never ranked in top 50 most deprived,896,796,612,832,707,RLF1,Larger rural: Further from a major town or city,Rural,715,-48
W01000633,Burry Port 2,Carmarthenshire,491,392,408,579,533,1142,1143,275,552,28.5398715296261,35.4328707014038,34.565091159079,26.8966127932738,28.7213262688648,11.7322486834062,11.71253362724,43.0258094753443,27.9500155661972,LSOAs never ranked in top 50 most deprived,443,479,394,285,284,RLF1,Larger rural: Further from a major town or city,Rural,651,652
W01000634,Burry Port 3,Carmarthenshire,1323,1000,968,1201,1093,773,1564,1559,1678,12.5496965531213,14.7187562513825,15.4488885476342,10.5970433761167,12.7195929263557,20.4821752709261,4.62826933985109,4.7007961824822,3.03382750759324,LSOAs never ranked in top 50 most deprived,1220,1379,1144,962,786,RLF1,Larger rural: Further from a major town or city,Rural,-550,241
W01000635,Bynea 1,Carmarthenshire,1428,1412,1348,1233,907,716,1490,1135,1077,10.9734864637014,6.94220314888323,7.990727295028449,10.0039983060913,16.9083726246712,22.1886093532181,5.72574836504909,11.8707292942162,13.0513929137336,LSOAs never ranked in top 50 most deprived,1273,1072,906,770,725,UN1,Urban: Nearer to a major town or city,Urban,-712,62
W01000636,Bynea 2,Carmarthenshire,822,609,823,553,555,826,1746,1081,1758,20.4103967515015,25.7801075613242,19.0829232536666,27.9101280144764,27.830559837053105,19.0016148014497,2.13285351949854,12.9679930975123,1.97745812285042,LSOAs never ranked in top 50 most deprived,728,673,473,400,441,UN1,Urban: Nearer to a major town or city,Urban,4,924
W01000637,Carmarthen Town North 1,Carmarthenshire,549,537,542,368,538,812,777,549,1493,26.9240404210069,28.5567816203031,28.3527425151014,36.7991994167954,28.5158287354967,19.3835378508761,20.3670485562759,28.0700949563639,5.68022246120887,LSOAs never ranked in top 50 most deprived,614,644,685,617,574,UF1,Urban: Further from a major town or city,Urban,263,228
